"period_pair","feature","coefficient","abs_coef","norm_coef","rank"
"1yr_vs_3yr","hosp_pneumonia",1.64012482003005,1.64012482003005,1,1
"1yr_vs_3yr","dev_Ability.to.walk",1.63440263713098,1.63440263713098,0.996511129623072,2
"1yr_vs_3yr","sz_absence",1.43919873438088,1.43919873438088,0.87749341806468,3
"1yr_vs_3yr","sz_tonic.clonic",1.1117676572213,1.1117676572213,0.677855516631306,4
"1yr_vs_3yr","dev_Ability.to.sit.unsupported",1.02599442174406,1.02599442174406,0.625558743587127,5
"1yr_vs_3yr","dev_Ability.to.use.non.verbal.communication",0.974689957625973,0.974689957625973,0.594277914535869,6
"1yr_vs_3yr","eeg_paroxysmal_abnormalities",0.94757724399588,0.94757724399588,0.57774703024037,7
"1yr_vs_3yr","sz_tonic",0.832930127189583,0.832930127189583,0.507845571884172,8
"1yr_vs_3yr","dev_Ability.to.use.at.least.one.word",0.773783107585372,0.773783107585372,0.471783060737534,9
"1yr_vs_3yr","hosp_status",0.747290963576105,0.747290963576105,0.455630543754843,10
"1yr_vs_3yr","dev_Ability.to.belly.crawl",0.725720622523086,0.725720622523086,0.442478897740107,11
"1yr_vs_3yr","dev_Ability.to.use.short.phrase",0.705845984428277,0.705845984428277,0.43036113825492,12
"1yr_vs_3yr","diag_muscoloskeletal",0.704602587955342,0.704602587955342,0.42960302737351,13
"1yr_vs_3yr","eeg_background",0.670139801846577,0.670139801846577,0.408590732645763,14
"1yr_vs_3yr","dev_Ability.to.cruise",0.604897281316552,0.604897281316552,0.368811735502832,15
"1yr_vs_3yr","dev_Ability.to.vocalize",0.575967181279282,0.575967181279282,0.351172773099508,16
"1yr_vs_3yr","dev_Ability.to.grasp",0.56769301572118,0.56769301572118,0.346127934159779,17
"1yr_vs_3yr","dev_Ability.to.babble",0.533089082901763,0.533089082901763,0.325029580914456,18
"1yr_vs_3yr","dev_Ability.to.reach",0.496088806271892,0.496088806271892,0.302470153620871,19
"1yr_vs_3yr","sz_focal",0.46266326987962,0.46266326987962,0.282090280099014,20
"1yr_vs_3yr","diag_gastro",0.396060440311071,0.396060440311071,0.241481889350236,21
"1yr_vs_3yr","sz_myoclonic",0.295242218246064,0.295242218246064,0.180012042157045,22
"1yr_vs_3yr","dev_Ability.to.crawl",0.244097055064671,0.244097055064671,0.148828340430943,23
"1yr_vs_3yr","eeg_epileptiform",0.212612493538029,0.212612493538029,0.129631898097935,24
"1yr_vs_3yr","sz_clonic",0.126635324115282,0.126635324115282,0.077210784550509,25
"1yr_vs_3yr","dev_Ability.to.recognize.spoken.word",0.0234278709668445,0.0234278709668445,0.0142842000076648,26
"1yr_vs_3yr","dev_Ability.to.follow.commands",0.00151655681284662,0.00151655681284662,0.000924659388313405,27
