"period_pair","feature","coefficient","abs_coef","norm_coef","rank"
"5yr_vs_8yr","dev_Ability.to.vocalize",2.59858739091509,2.59858739091509,1,1
"5yr_vs_8yr","dev_Ability.to.follow.commands",2.32664960794525,2.32664960794525,0.895351688413267,2
"5yr_vs_8yr","dev_Ability.to.speak",2.31194777682157,2.31194777682157,0.88969406413052,3
"5yr_vs_8yr","dev_Ability.to.speak.fluently",2.25669268587169,2.25669268587169,0.868430553369615,4
"5yr_vs_8yr","dev_Ability.to.identify.colors",2.17942283237082,2.17942283237082,0.838695223408801,5
"5yr_vs_8yr","dev_Ability.to.jump",2.15718668373243,2.15718668373243,0.830138209426462,6
"5yr_vs_8yr","sz_tonic",2.02460111136528,2.02460111136528,0.779116037599306,7
"5yr_vs_8yr","diag_gastro",1.93624900337349,1.93624900337349,0.745115984993541,8
"5yr_vs_8yr","sz_focal",1.85972717392803,1.85972717392803,0.715668512988949,9
"5yr_vs_8yr","dev_Ability.to.use.non.verbal.communication",1.49129930138455,1.49129930138455,0.573888454395751,10
"5yr_vs_8yr","dev_Ability.to.run",1.30279692274664,1.30279692274664,0.501348127563978,11
"5yr_vs_8yr","dev_Ability.to.use.augmentative.and.alternative.communication",1.22609346469383,1.22609346469383,0.471830760427903,12
"5yr_vs_8yr","dev_Ability.to.walk.with.assistance",1.21098096929548,1.21098096929548,0.466015102485752,13
"5yr_vs_8yr","sz_tonic.clonic",1.10504234918741,1.10504234918741,0.425247329780304,14
"5yr_vs_8yr","sz_myoclonic",0.984489893274798,0.984489893274798,0.378855795543636,15
"5yr_vs_8yr","dev_Ability.to.use.at.least.one.word",0.912911090671034,0.912911090671034,0.351310521194191,16
"5yr_vs_8yr","eeg_background",0.877636992435962,0.877636992435962,0.337736185245978,17
"5yr_vs_8yr","dev_Ability.to.initiate.words",0.874061495572668,0.874061495572668,0.336360246581843,18
"5yr_vs_8yr","dev_Ability.to.pull.to.stand",0.85568350933502,0.85568350933502,0.329287947877594,19
"5yr_vs_8yr","sz_absence",0.750034299450089,0.750034299450089,0.288631547306156,20
"5yr_vs_8yr","hosp_status",0.514359377762205,0.514359377762205,0.197938071877226,21
"5yr_vs_8yr","hosp_pneumonia",0.499304402699022,0.499304402699022,0.192144549167228,22
"5yr_vs_8yr","hosp_sz",0.417242373096608,0.417242373096608,0.160565072606497,23
"5yr_vs_8yr","dev_Ability.to.cruise",0.231490393814642,0.231490393814642,0.0890831667328006,24
