"period_pair","feature","coefficient","abs_coef","norm_coef","rank"
"1yr_vs_3yr","sz_absence",3.17921669741293,3.17921669741293,1,1
"1yr_vs_3yr","hosp_pneumonia",2.75521323172316,2.75521323172316,0.866632725590929,2
"1yr_vs_3yr","dev_Ability.to.vocalize",2.26017878623201,2.26017878623201,0.71092316169301,3
"1yr_vs_3yr","sz_tonic",2.1102612632526,2.1102612632526,0.663767671127865,4
"1yr_vs_3yr","dev_Ability.to.use.short.phrase",2.05808219405336,2.05808219405336,0.647355116034747,5
"1yr_vs_3yr","dev_Ability.to.walk",2.03446207470272,2.03446207470272,0.639925575491048,6
"1yr_vs_3yr","dev_Ability.to.sit.unsupported",2.01913231707519,2.01913231707519,0.635103709262172,7
"1yr_vs_3yr","sz_tonic.clonic",1.9056492533631,1.9056492533631,0.599408418719557,8
"1yr_vs_3yr","eeg_paroxysmal_abnormalities",1.84840168189584,1.84840168189584,0.581401602287748,9
"1yr_vs_3yr","diag_muscoloskeletal",1.55155955987463,1.55155955987463,0.488032024094866,10
"1yr_vs_3yr","sz_focal",1.48453491094948,1.48453491094948,0.466949897488118,11
"1yr_vs_3yr","dev_Ability.to.use.non.verbal.communication",1.35961191838562,1.35961191838562,0.427656258691645,12
"1yr_vs_3yr","dev_Ability.to.belly.crawl",1.25925368790958,1.25925368790958,0.396089291093083,13
"1yr_vs_3yr","hosp_status",1.1763008180723,1.1763008180723,0.369997055887856,14
"1yr_vs_3yr","eeg_epileptiform",1.17599750490478,1.17599750490478,0.369901650888328,15
"1yr_vs_3yr","dev_Ability.to.grasp",1.06410196495132,1.06410196495132,0.334705704652729,16
"1yr_vs_3yr","dev_Ability.to.babble",0.868040233387516,0.868040233387516,0.273035881477937,17
"1yr_vs_3yr","dev_Ability.to.reach",0.853087265777652,0.853087265777652,0.268332531869201,18
"1yr_vs_3yr","dev_Ability.to.use.at.least.one.word",0.742453553465777,0.742453553465777,0.233533484543518,19
"1yr_vs_3yr","diag_gastro",0.716631271070735,0.716631271070735,0.22541126927708,20
"1yr_vs_3yr","eeg_background",0.669600470043915,0.669600470043915,0.210618065320554,21
"1yr_vs_3yr","dev_Ability.to.walk.with.assistance",0.665507837641084,0.665507837641084,0.209330756907082,22
"1yr_vs_3yr","dev_Ability.to.follow.commands",0.63434442694478,0.63434442694478,0.199528527722245,23
"1yr_vs_3yr","dev_Ability.to.crawl",0.547592482723165,0.547592482723165,0.172241320690334,24
"1yr_vs_3yr","eeg_normal",0.47804116175891,0.47804116175891,0.150364447364633,25
"1yr_vs_3yr","dev_Ability.to.cruise",0.469825222679729,0.469825222679729,0.147780182163124,26
"1yr_vs_3yr","dev_Ability.to.initiate.words",0.358268342493895,0.358268342493895,0.112690758948716,27
"1yr_vs_3yr","dev_Ability.to.kneel",0.345358796956627,0.345358796956627,0.108630153219081,28
"1yr_vs_3yr","diag_cardio",0.300983179198406,0.300983179198406,0.0946721182747087,29
"1yr_vs_3yr","sz_clonic",0.1776148076557,0.1776148076557,0.0558674744632011,30
