"cluster","feature","coefficient","abs_coef","norm_coef","rank"
"1","dev_Ability.to.sit.unsupported",-0.711017161310037,0.711017161310037,1,1
"1","dev_Ability.to.use.short.phrase",-0.524333632965031,0.524333632965031,0.737441599860902,2
"1","dev_Ability.to.use.pincer.grasp",-0.395287837673617,0.395287837673617,0.555946971723307,3
"1","dev_Ability.to.run",-0.381129149159752,0.381129149159752,0.536033685118834,4
"1","dev_Ability.to.crawl",-0.288106593018703,0.288106593018703,0.405203430656823,5
"1","dev_Ability.to.follow.commands",-0.251511495994206,0.251511495994206,0.35373477558657,6
"1","dev_Ability.to.identify.colors",-0.188713549194514,0.188713549194514,0.265413494164913,7
"1","dev_Ability.to.walk",-0.186772237740021,0.186772237740021,0.26268316420928,8
"1","sz_myoclonic",0.114458732500166,0.114458732500166,0.160978860607637,9
"1","dev_Ability.to.perform.hand.functions",-0.0358448798089257,0.0358448798089257,0.0504135227100315,10
"1","dev_Ability.to.use.at.least.one.word",-0.0246246455474251,0.0246246455474251,0.0346329834037403,11
"1","dev_Ability.to.read",-0.0123659376229059,0.0123659376229059,0.0173918975459352,12
"1","sz_tonic",0.011852400254715,0.011852400254715,0.0166696401995096,13
"1","dev_Ability.to.reach",-0.00926105555377371,0.00926105555377371,0.0130250802058144,14
"2","dev_Ability.to.sit.unsupported",0.711017161310037,0.711017161310037,1,1
"2","dev_Ability.to.use.short.phrase",0.524333632965031,0.524333632965031,0.737441599860902,2
"2","dev_Ability.to.use.pincer.grasp",0.395287837673617,0.395287837673617,0.555946971723307,3
"2","dev_Ability.to.run",0.381129149159752,0.381129149159752,0.536033685118834,4
"2","dev_Ability.to.crawl",0.288106593018703,0.288106593018703,0.405203430656823,5
"2","dev_Ability.to.follow.commands",0.251511495994206,0.251511495994206,0.35373477558657,6
"2","dev_Ability.to.identify.colors",0.188713549194514,0.188713549194514,0.265413494164913,7
"2","dev_Ability.to.walk",0.186772237740021,0.186772237740021,0.26268316420928,8
"2","sz_myoclonic",-0.114458732500166,0.114458732500166,0.160978860607637,9
"2","dev_Ability.to.perform.hand.functions",0.0358448798089257,0.0358448798089257,0.0504135227100315,10
"2","dev_Ability.to.use.at.least.one.word",0.0246246455474251,0.0246246455474251,0.0346329834037403,11
"2","dev_Ability.to.read",0.0123659376229059,0.0123659376229059,0.0173918975459352,12
"2","sz_tonic",-0.011852400254715,0.011852400254715,0.0166696401995096,13
"2","dev_Ability.to.reach",0.00926105555377371,0.00926105555377371,0.0130250802058144,14
