"target","predictor","coefficient","ci_lower","ci_upper","auc","p_value"
"diagnosis_behavioral","age_onset_m",-0.0249544021599434,0.953701257128028,0.997499132312625,0.871527777777778,0.0293637691491756
"diagnosis_muscoloskeletal","Onset_group_(Intercept)",2.30258509299404,2.33739462114935,42.7826773858266,0.648951048951049,0.00190404439138462
"diagnosis_gastro","Onset_group_(Intercept)",1.50407739677628,1.52297634237139,13.2963326064995,0.755234297108674,0.00650890164711374
"diagnosis_gastro","abnormal_eeg",2.01490302054226,1.11873508656903,50.279999863514,0.589598997493734,0.0379365962250144
"diagnosis_gastro","unique_types_2+",1.87180217689878,1.2725388848928,33.2013430012562,0.644917582417582,0.024472640848406
"diagnosis_immune","Onset_group_7-12 Months",-1.85629799036563,0.0351584817313077,0.694400363661321,0.698790627362056,0.0147201613382723
"diagnosis_immune","Onset_group_12+ Months",-1.79175946922806,0.0294092052119778,0.944526639790468,0.698790627362056,0.0429241832551729
"diagnosis_neuro","Onset_group_(Intercept)",1.84582669049742,1.87419401508521,21.4017923374993,0.699907663896584,0.00296735209118765
"diagnosis_neuro","Onset_group_12+ Months",-1.84582669049742,0.0299537696314626,0.832307526872902,0.699907663896584,0.0295261732278836
"diagnosis_neuro","unique_types_2+",2.07944154018219,1.50772944639227,42.4479338527497,0.700649350649351,0.0145981164524336
"diagnosis_neuro","age_onset_m",-0.0360854239245824,0.935658330964436,0.994350073525175,0.742382271468144,0.0200704678706822
"diagnosis_sensory","Onset_group_(Intercept)",1.84582669049742,1.87419401508521,21.4017923374994,0.612987012987013,0.00296735209118768
"diagnosis_sensory","unique_types_1",2.19722457733028,1.26777358705395,63.8915345974873,0.639795918367347,0.0280042760527962
"diagnosis_sensory","unique_types_2+",2.35137525715911,1.82861124745483,60.2916558412779,0.639795918367347,0.0083697367537679
"diagnosis_respiratory","Onset_group_(Intercept)",1.84582669049742,1.87419401508521,21.4017923374993,0.766384778012685,0.00296735209118767
"diagnosis_respiratory","Onset_group_4-7 Months",-1.97935808312194,0.0283204819052952,0.673985843248749,0.766384778012685,0.0143689144734352
"diagnosis_respiratory","Onset_group_7-12 Months",-1.95118720615524,0.0312522337418234,0.646158798888892,0.766384778012685,0.0115654456358856
"diagnosis_respiratory","Onset_group_12+ Months",-3.45526460293152,0.00451014753451508,0.221108047856033,0.766384778012685,0.000501842315935723
"diagnosis_respiratory","focal",1.49549365308186,1.6378860262485,12.1530589581126,0.678571428571429,0.00344446845660881
