parameter,contrast,estimate,std.error,conf.low,conf.high,statistic,p.value
Body weight,female_age5_vs_age0,0.4371815592607492,0.3210069995579065,-0.20266121175301444,1.0770243302745128,1.3619066246618898,0.1774451331504195
Body weight,male_age5_vs_age0,-0.2928051185096382,0.31559178285873857,-0.9221279576834108,0.33651772066413443,-0.9277970289888698,0.35667081867887906
Body weight,male_vs_female_age0,0.11924650074882287,0.2879416317377344,-0.45458607984846183,0.6930790813461076,0.4141342814137972,0.6799857909900671
Body weight,male_vs_female_age5,0.8492331785192102,0.36431012770027094,0.1227445726854316,1.575721784352989,2.331072111225797,0.022610918011066315
Body weight,diff_in_change_male_vs_female,0.14599733555407438,0.0900319203778567,-0.03349575825156351,0.3254904293597123,1.6216174767941784,0.10928188924123217
Body weight,overall_sex_effect,0.11924650074882287,0.28767430450888665,-0.44459513608859497,0.6830881375862408,0.41451912416160613,0.6784939643140278
Body height,female_age5_vs_age0,1.1562274108187147,0.3641599110681515,0.4285946792521955,1.883860142385234,3.1750540783780288,0.0023135028930529153
Body height,male_age5_vs_age0,0.26747222762523004,0.3625507689198405,-0.45612766973064334,0.9910721249811034,0.73775109737629,0.4632312976652825
Body height,male_vs_female_age0,0.2543353710222163,0.3505575552961046,-0.4451937599120113,0.953864501956444,0.7255167295064785,0.4706251316367296
Body height,male_vs_female_age5,1.143090554215701,0.38181999528413846,0.3806843971100249,1.9054967113213772,2.9937943751873157,0.0038816073754711976
Body height,diff_in_change_male_vs_female,0.17775103663869313,0.10277266190452015,-0.02748343466478767,0.3829855079421739,1.7295556361460291,0.08843582872702081
Body height,overall_sex_effect,0.2543353710222163,0.3499262659981624,-0.43152011033418197,0.9401908523786147,0.7268256079512246,0.4673327937224973
Head circumference,female_age5_vs_age0,0.2009549104668458,0.8700123485779478,-1.5349589849290644,1.936868805862756,0.23097937724138112,0.8180206735119464
Head circumference,male_age5_vs_age0,0.2665927222845602,0.8594700311120064,-1.4475464719746993,1.98073191654382,0.3101826854156102,0.7573430568749672
Head circumference,male_vs_female_age0,1.1209391927539538,0.9045791439609383,-0.6832709792846154,2.925149364792523,1.2391831054667324,0.2194274443730202
Head circumference,male_vs_female_age5,1.0553013809362395,0.5045870917945521,0.046116375891799066,2.06448638598068,2.0914157300042793,0.04070378929141283
Head circumference,diff_in_change_male_vs_female,-0.013127562363542601,0.24459028771050761,-0.5010465558058984,0.47479143107881316,-0.05367164201989955,0.9573514215371088
Head circumference,overall_sex_effect,1.1209391927539538,0.9040334788471854,-0.6509664257865295,2.892844811294437,1.239931063375401,0.21500089314280735
